City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,2.65,78,92,12.29,TF,1691616214
1,punta arenas,-53.15,-70.9167,3.73,91,100,3.51,CL,1691615864
2,olyokminsk,60.3736,120.4264,16.11,95,7,1.56,RU,1691616295
3,weno,7.4515,151.8468,26.97,100,75,2.06,FM,1691616228
4,chitapur,17.1167,77.0833,26.49,72,100,5.08,IN,1691616295
5,waitangi,-43.9535,-176.5597,9.9,75,78,2.68,NZ,1691616219
6,broome,42.2506,-75.833,26.78,66,0,3.09,US,1691616292
7,taro,-8.3862,115.28,18.0,88,80,0.68,ID,1691616295
8,adamstown,-25.066,-130.1015,18.87,69,59,9.65,PN,1691616153
9,olonkinbyen,70.9221,-8.7187,6.0,100,100,3.48,SJ,1691616215
10,enewetak,11.3474,162.3373,28.51,77,84,6.47,MH,1691616296
11,invercargill,-46.4,168.35,1.68,96,85,1.34,NZ,1691616046
12,tual,-5.6667,132.75,25.62,81,99,9.92,ID,1691616296
13,yellowknife,62.456,-114.3525,21.29,43,75,8.23,CA,1691616158
14,copala,16.65,-98.9833,30.72,65,100,3.26,MX,1691616296
15,margate,51.3813,1.3862,17.05,78,0,1.79,GB,1691616278
16,qaqortoq,60.7167,-46.0333,7.69,75,16,1.94,GL,1691616296
17,hermanus,-34.4187,19.2345,13.0,85,0,4.36,ZA,1691616296
18,longyearbyen,78.2186,15.6401,9.91,71,0,3.09,SJ,1691616020
19,pacocha,-17.5833,-71.3333,18.08,82,100,3.09,PE,1691616297
20,rio de janeiro,-22.9028,-43.2075,22.0,78,75,6.17,BR,1691615700
21,atafu village,-8.5421,-172.5159,28.29,79,100,6.71,TK,1691616297
22,igrim,63.1906,64.4162,10.23,67,13,2.29,RU,1691616297
23,ushuaia,-54.8,-68.3,7.81,53,40,6.69,AR,1691616151
24,grytviken,-54.2811,-36.5092,-7.41,73,12,2.52,GS,1691616151
25,tura,25.5198,90.2201,23.5,98,100,1.03,IN,1691616297
26,port mathurin,-19.6833,63.4167,22.95,63,0,7.4,MU,1691616297
27,nuku'alofa,-21.1333,-175.2,23.19,88,75,3.6,TO,1691616182
28,kirgiz-miyaki,53.6324,54.7979,15.76,79,0,1.45,RU,1691616298
29,el charco,2.4769,-78.1105,27.92,81,96,3.4,CO,1691616298
30,lebu,-37.6167,-73.65,11.71,94,100,10.58,CL,1691616223
31,dzhetygara,52.1908,61.2006,16.65,82,79,6.05,KZ,1691616298
32,iqaluit,63.7506,-68.5145,4.85,100,100,4.12,CA,1691616298
33,bethel,41.3712,-73.414,30.12,51,0,4.12,US,1691616220
34,tozeur,33.9197,8.1335,33.22,38,0,9.26,TN,1691616298
35,ad dabbah,18.05,30.95,29.96,51,95,4.78,SD,1691616298
36,albany,42.6001,-73.9662,28.03,52,51,0.45,US,1691616128
37,ilulissat,69.2167,-51.1,12.01,43,75,1.54,GL,1691616235
38,afaahiti,-17.75,-149.2833,25.93,71,93,6.18,PF,1691616162
39,blackmans bay,-43.0167,147.3167,12.07,70,100,3.05,AU,1691616153
40,yenotayevka,47.2456,47.0281,29.08,38,59,2.96,RU,1691616299
41,papatowai,-46.5619,169.4708,2.68,87,95,2.61,NZ,1691616222
42,bredasdorp,-34.5322,20.0403,10.69,92,0,1.59,ZA,1691616151
43,hauterive,46.0901,3.4459,20.42,73,0,1.54,FR,1691616299
44,aljezur,37.3191,-8.8033,19.37,91,0,3.85,PT,1691616299
45,labytnangi,66.6572,66.4183,9.55,80,7,3.1,RU,1691616290
46,ancud,-41.8697,-73.8203,10.93,91,100,10.11,CL,1691616172
47,kindu,-2.95,25.95,24.64,54,3,0.82,CD,1691616229
48,rudnichnyy,59.617,52.4703,14.17,73,60,1.46,RU,1691616300
49,cabo san lucas,22.8909,-109.9124,33.92,70,100,4.63,MX,1691616199
50,villanueva,15.3167,-88.0,35.02,66,20,5.66,HN,1691616300
51,tolanaro,-25.0319,46.9987,19.42,90,6,3.03,MG,1691616165
52,badger,64.8,-147.5333,21.4,78,100,2.06,US,1691616300
53,zapala,-38.8992,-70.0544,13.25,38,100,8.55,AR,1691616300
54,kenai,60.5544,-151.2583,14.52,93,100,4.12,US,1691616300
55,bereznik,62.8551,42.7072,16.36,92,7,2.01,RU,1691616301
56,polyarnyy,69.1989,33.4478,19.08,73,0,2.85,RU,1691616301
57,casilda,-33.0442,-61.1681,18.59,54,90,2.43,AR,1691616301
58,codrington,-38.2667,141.9667,10.34,82,74,7.56,AU,1691616301
59,anadyr,64.75,177.4833,11.28,82,75,2.0,RU,1691616228
60,puerto aysen,-45.4,-72.7,9.02,93,100,0.0,CL,1691616302
61,whitehorse,60.7161,-135.0538,20.05,46,75,2.06,CA,1691616302
62,college,64.8569,-147.8028,21.44,77,75,2.06,US,1691616224
63,aasiaat,68.7098,-52.8699,4.56,81,16,3.94,GL,1691616302
64,vorkuta,67.5,64.0,7.84,88,35,3.08,RU,1691616214
65,banda aceh,5.5577,95.3222,26.07,83,89,5.59,ID,1691616303
66,bilibino,68.0546,166.4372,10.98,47,99,1.54,RU,1691616154
67,klyuchi,52.2667,79.1667,19.64,46,80,3.08,RU,1691616303
68,chalette-sur-loing,48.0134,2.7359,17.9,84,0,2.19,FR,1691616303
69,stanley,54.868,-1.6985,17.66,85,75,2.06,GB,1691616169
70,okha,53.5739,142.9478,13.65,90,92,3.03,RU,1691616288
71,malango,-2.9627,119.9001,18.0,98,49,0.85,ID,1691616304
72,port lincoln,-34.7333,135.8667,10.96,69,70,4.53,AU,1691616260
73,fallon,39.4735,-118.7774,34.4,24,75,2.57,US,1691616103
74,belgrade,44.804,20.4651,19.81,77,0,2.57,RS,1691616304
75,togur,58.3631,82.8265,12.61,90,97,2.61,RU,1691616285
76,dolores,-36.3132,-57.6792,11.66,85,79,3.43,AR,1691616306
77,nova sintra,14.8667,-24.7167,23.02,73,51,7.43,CV,1691616306
78,loa janan,-0.583,117.095,22.94,94,100,1.19,ID,1691616306
